WKT,Type_id,Type_road,SHAPE_Leng,Name
"LINESTRING (423165.52350000012666 2932598.7881,423164.295199999585748 2932502.06,423146.713100000284612 2932485.2957,423064.118300000205636 2932441.136,423031.546500000171363 2932423.721499999985,423030.518418886873405 2932423.077432592399418,423029.517199999652803 2932422.229699999094,423028.562279564270284 2932421.121294670272619,423027.306413713202346 2932418.656519157811999,423026.95160000026226 2932417.095599999651,423026.8805 2932416.273,423025.683000000193715 2932385.936499999836)",1,Metal,    291.18174847800,
"LINESTRING (423343.660199999809265 2933289.4494,423343.626899999566376 2933428.531199999154,423332.950500000268221 2933428.528599999845)",1,Metal,    149.75820430100,
"LINESTRING (423173.271599999628961 2933037.550699999556,423345.623100000433624 2932956.0842)",1,Metal,    190.63533296500,
"LINESTRING (423344.914800000376999 2932742.1839,423251.49100000038743 2932739.64699999988)",1,Metal,     93.45823809620,
"LINESTRING (423577.480100000277162 2932773.242699999362,423572.964499999769032 2932773.2475,423503.624200000427663 2932783.381899999455,423459.086400000378489 2932784.982,423430.816899999976 2932787.115599999204,423367.877199999988 2932787.115599999204,423359.457600000314415 2932787.2133,423344.949500000104308 2932787.381599999964)",1,Metal,    233.37796135700,
"LINESTRING (423460.668899999931 2932784.487299999222,423463.130199999548495 2932700.8023,423463.263751285208855 2932699.497064156923443,423463.671956181642599 2932697.973622743971646,423464.338502353639342 2932696.544209864921868,423465.24313713319134 2932695.252257507760078,423466.358373650116846 2932694.137020990718156,423467.650326007336844 2932693.232386211398989,423468.816800000146031 2932692.6662)",1,Metal,     94.22805522220,
"MULTILINESTRING ((423359.472500000149012 2932625.2551,423359.847799999639392 2932473.653599999845),(423359.472500000149012 2932625.2551,423362.269899999722838 2932620.0971,423367.398400000296533 2932615.901,423374.858199999667704 2932614.2692,423389.544499999843538 2932613.103599999,423410.259399999864399 2932611.459499999881,423423.205299999564886 2932610.43209999986,423428.941100000403821 2932606.3432,423435.934600000269711 2932597.95099999942,423442.740799999795854 2932589.7835,423447.124099999666214 2932575.3388,423448.816399999894202 2932569.762,423463.20920000039041 2932538.972699999809,423465.770100000314415 2932533.4941,423468.8788 2932526.8439,423469.5548 2932520.924399999902,423468.729100000113249 2932516.268899999559,423467.450299999676645 2932504.0559,423467.448300000280142 2932501.414499999955,423467.441399999894202 2932492.181399999186,423467.408599999733269 2932448.5252),(423359.46750000026077 2932787.18099999987,423359.472500000149012 2932630.1599,423359.472500000149012 2932625.2551))",1,Metal,    557.55261565900,
"LINESTRING (423469.5548 2932520.924399999902,423499.855000000447035 2932542.469399999827,423501.253700000233948 2932546.6655,423501.020600000396371 2932562.5174,423504.051099999807775 2932564.615399999544,423523.399699999951 2932574.1732,423529.892400000244379 2932577.3804)",1,Metal,     89.96387597260,
"LINESTRING (423467.441399999894202 2932492.181399999186,423478.2001 2932501.954199999571,423478.588200000114739 2932510.423699999228,423507.547799999825656 2932533.8441,423517.105600000359118 2932543.8681,423519.6699 2932566.480399999768,423529.892400000244379 2932577.3804)",1,Metal,    111.80898367900,
"LINESTRING (423462.254200000315905 2932730.5883,423482.806900000199676 2932730.638399999589)",1,Metal,     20.55276106260,
